npcname_JP.	観光客
npcname_EN.	tourist
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	4
numflavor_angeredEN.	4
flavorangered_JP.0	「観光客だからって馬鹿にするな」
flavorangered_JP.1	「なんて治安の悪い国だ」
flavorangered_JP.2	「野蛮な土地だな」
flavorangered_JP.3	「金などもってないぞ」
flavorangered_EN.0	"You shouldn't underestimate tourists"
flavorangered_EN.1	"Such poor security in this country."
flavorangered_EN.2	"How barbaric..."
flavorangered_EN.3	"I'm not even carrying any money"
numflavor_deathJP.	3
numflavor_deathEN.	0
flavordeath_JP.0	「こんな国二度とくるか」
flavordeath_JP.1	「無差別テロだー」
flavordeath_JP.2	「いやーん」
flavordeath_EN.0	"Will the country ever get better again?"
flavordeath_EN.1	"This is just indiscriminate terrorism"
flavordeath_EN.2	"Eaaugh..."
numflavor_killJP.	1
numflavor_killEN.	0
flavorkill_JP.0	「弱い弱い」
flavorkill_EN.0	"Weak. Weak!"
numflavor_welcomeJP.	1
numflavor_welcomeEN.	0
flavorwelcome_JP.0	「おかえり。いやぁ、いい家に住ませてもらっています」
flavorwelcome_JP.0 "Welcome back. Wow, we're allowed to be living in a really nice house, now"
