npcname_JP.	爆弾魔『ノエル』
npcname_EN.	<Noel> the bomber
numflavor_passiveJP.	3
numflavor_passiveEN.	6
flavorpassive_JP.0	「もえちゃえ」
flavorpassive_JP.1	「クズね。この世界は」
flavorpassive_JP.2	「あたし、綺麗かしら？」
flavorpassive_EN.0	You hear a someone making ticking sounds, followed by a pantomimed 'Ka-BOOOOM', followed by maniacal laughter
flavorpassive_EN.1	"He says to me, he says to me, 'Baby I'm TIRED of workin' for the MAN!' I says, I says, WHY DON'T YOU BLOW HIM TO BITS?"
flavorpassive_EN.2	"You got STYLE, baby. But if you're going to be a real villain, you gotta get a gimmick.' And so I go I says YEAH, baby. A gimmick, that's it. High explosives."
flavorpassive_EN.3	"This world grows too fast, like kudzu."
flavorpassive_EN.4	"I've been dyed in cherry"
flavorpassive_EN.5	"Ain't I lovely?"
numflavor_angeredJP.	1
numflavor_angeredEN.	0
flavorangered_JP.0	「ヘンタイ！」
flavorangered_EN.0	"Ya sicko!"
numflavor_deathJP.	1
numflavor_deathEN.	0
flavordeath_JP.0	「全部、全部、真っ赤にもえちゃ…」
flavordeath_EN.1	"Everything... everything is burning red"
numflavor_killJP.	1
numflavor_killEN.	0
flavorkill_JP.0	「綺麗な血。ぺろっ」
flavorkill_EN.0	"Pretty blood, tehe. *lick*"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
