npcname_JP.	黒猫
npcname_EN.	black cat
numflavor_passiveJP.	4
numflavor_passiveEN.	4
flavorpassive_JP.0	「うみみゃ」
flavorpassive_JP.1	「みゅー」
flavorpassive_JP.2	「みゃ」
flavorpassive_JP.3	 *ごろごろ* 
flavorpassive_EN.0	"Mi mi"
flavorpassive_EN.1	"Meww"
flavorpassive_EN.2	"Mya"
flavorpassive_EN.3	 *purr* 
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「フシューッ」
flavorangered_JP.1	「うみみゃ！」
flavorangered_JP.2	「みゃ！」
flavorangered_EN.0	*fssss*
flavorangered_EN.1	"Mi mya!"
flavorangered_EN.2	"Mya!"
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「うみ…みゃ…」
flavordeath_EN.0	"Hh... mya..."
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	黒猫は尻尾をふった。
flavorkill_EN.0	The black cat shakes its tail angrily
numflavor_welcomeJP.	1
numflavor_welcomeEN.	0
flavorwelcome_JP.0	「おかえりみゃー」
